CODE,Omschrijving
43131100-1,Offshore-uitrusting
43131200-2,Offshoreboorunit
43132000-7,Oliebooruitrusting
43132100-8,Boormachines
43132200-9,Boorinstallatie
43132300-0,Boren
43132400-1,Pijpleidingsuitrusting
43132500-2,Zeefpijphangers
43133000-4,Uitrusting voor olieplatforms
43133100-5,Skidunits
43133200-6,Op skids gemonteerde modules
43134000-1,Machines voor olieveld
43134100-2,Onderwaterpompen
43135000-8,Onderzeese uitrusting
43135100-9,Onderzeese regelsystemen
43136000-5,Boorgatuitrusting
43140000-6,Mobiele hydraulische dakstutten voor de mijnbouw
43200000-5,"Grondverzet- en graafmachines, en bijbehorende onderdelen"
43210000-8,Grondverzetmachines
43211000-5,Bulldozers
43212000-2,Hoekschuivers
43220000-1,Grondschaven en egaliseermachines
43221000-8,Wegschaven
43230000-4,Schraapmachines
43240000-7,Aanstampmachines
43250000-0,Laadschoppen met voorschop
43251000-7,Laadschoppen met voorschop en dieplepel
43252000-4,"Laadschoppen met voorschop, zonder dieplepel"
43260000-3,"Laadschoppen, graafmachines en laadschoppen en mijnbouwmachines"
43261000-0,Laadschoppen
43261100-1,Schep- en laadmachines
43262000-7,Graafmachinerie
43262100-8,Graafmachines
43300000-6,Machines en uitrusting voor de bouw
43310000-9,Machines voor civiele techniek
43311000-6,Heimachines
43312000-3,Wegverhardingsmachines
43312100-4,Schaafmachines
43312200-5,Splitstrooiwagens
43312300-6,Bestratingsmachines
43312400-7,Wegwalsen
43312500-8,Walsmachines
43313000-0,Sneeuwploegen en sneeuwblazers
43313100-1,Sneeuwploegen
43313200-2,Sneeuwblazers
43314000-7,Palentrekkers
43315000-4,Verdichtingsmachines
43316000-1,Machines voor het leggen van kabels
43320000-2,Bouwuitrusting
43321000-9,Uitrusting voor brugophanging
43322000-6,Ontmantelingsuitrusting
43323000-3,Irrigatie-uitrusting
43324000-0,Draineringsuitrusting
43324100-1,Uitrusting voor zwembaden
43325000-7,Uitrusting voor parken en speelplaatsen
43325100-8,Uitrusting voor terreinonderhoud
43327000-1,Prefabuitrusting
43328000-8,Hydraulische installaties
43328100-9,Hydraulische uitrusting
43329000-5,Uitrustingssets
43400000-7,Machines voor het behandelen van ertsen en machines voor het maken van gietvormen
43410000-0,Machines voor het behandelen van ertsen
43411000-7,Sorteer- en zeefmachines
43412000-4,Machines voor het mengen van grind met bitumen
43413000-1,Beton- en mortelmengers
43413100-2,Cementmengers
43414000-8,Maalmachines
43414100-9,Steenkoolverpulveraars
43415000-5,Gietvormen
43420000-3,Machines voor het maken van gietvormen
43500000-8,Rupsbandvoertuigen
43600000-9,"Delen van machines voor mijnbouw, steengroeven en voor de bouw"
43610000-2,Delen van boormachines
43611000-9,Delen van grondboormachines
43611100-0,Brugproppen
43611200-1,Industriële boorkoppen
43611300-2,Boorscharen
43611400-3,IJzeren boortorens
43611500-4,Draaibare tafels
43611600-5,Uitrusting voor de ophanging van de spoelingleiding
43611700-6,Bevestigingsuitrusting
43612000-6,Delen van boorputextractiemachines
43612100-7,Ophangmechanismen voor verbuizing
43612200-8,Uitrusting voor zeefpijphangers
43612300-9,Productiestijgbuisspanners
43612400-0,Boorputkoppen
43612500-1,Bevestigingsuitrusting voor de productiestijgleiding
43612600-2,Boorputkop-controlesysteem
43612700-3,Apparatuur voor boorputkop
43612800-4,Vijzelsystemen voor boorplatforms
43613000-3,Delen van steenkool- of steenzaagmachines
43613100-4,Delen van steenkoolzaagmachines
43613200-5,Delen van steenzaagmachines
43614000-0,Delen van tunnelgraafmachines
43620000-5,Delen van machines voor het behandelen van ertsen
43630000-8,Delen van delfmachines
43640000-1,Delen van graafmachinerie
43700000-0,Machines voor de metallurgie en bijbehorende onderdelen
43710000-3,Metaalwalsmachines
43711000-0,Onderdelen van metaalwalsmachines
43720000-6,Gietmachines
43721000-3,Onderdelen van gietmachines
43800000-1,Werkplaatsuitrusting
43810000-4,Houtbewerkingsuitrusting
43811000-1,Schuurmachines
43812000-8,Zaaguitrusting
43820000-7,Schoenmakersuitrusting
43830000-0,Elektrisch gereedschap
43840000-3,Uitrusting voor smederij
44000000-0,Structuren en materialen voor de bouw; ondersteunende producten voor de bouw (uitgezonderd elektrische apparatuur)
44100000-1,Bouwmaterialen en aanverwante artikelen
44110000-4,Constructiematerialen
44111000-1,Bouwmaterialen
44111100-2,Bakstenen
44111200-3,Cement
44111210-6,Boorspecie
44111300-4,Keramiek
44111400-5,Verf en wandbekleding
44111500-6,Isolatoren en isolerende delen
44111510-9,Isolatoren
44111511-6,Isolatoren voor elektriciteit
44111520-2,Warmte-isolatiemateriaal
44111530-5,Elektriciteit-isolerende delen
44111540-8,Isolatieglas
44111600-7,Blokken
44111700-8,Tegels
44111800-9,Mortel (bouwnijverheid)
44111900-0,Keramische plavuizen
44112000-8,Diverse constructiestructuren
44112100-9,Schuilhokjes
44112110-2,Onderdelen van schuilhokjes
44112120-5,Profielsecties
44112200-0,Vloerbedekking
44112210-3,Hard vloermateriaal
44112220-6,Verhoogde vloeren
44112230-9,Linoleum
44112240-2,Parket
44112300-1,Scheidingsvoorzieningen
44112310-4,Scheidingswanden
44112400-2,Dak
44112410-5,Dakspanten
44112420-8,Dakstutten
44112430-1,Kapspanten
44112500-3,Dakbedekkingsmateriaal
44112510-6,Dakspanen
44112600-4,Geluidsisolatie
44112700-5,Balken
44113000-5,Materiaal voor wegenbouw
44113100-6,Bestratingsmateriaal
44113120-2,Bestratingsplaten
44113130-5,Straatstenen
44113140-8,Steenmateriaal voor wegenbouw
44113200-7,Flagstones
44113300-8,Omhulde materialen
44113310-1,Omhulde wegenbouwmaterialen
44113320-4,Omhulde wegenbouwsteen
44113330-7,Bekledingsmateriaal
44113500-0,Glazen parels
44113600-1,Bitumen en asfalt
44113610-4,Bitumen
44113620-7,Asfalt
44113700-2,Materiaal voor reparatie van wegen
44113800-3,Wegdekmateriaal
44113810-6,Oppervlaktebehandeling
44113900-4,Materiaal voor wegenonderhoud
44113910-7,Materiaal voor gladheidsbestrijding
44114000-2,Beton
44114100-3,Stortklaar beton
44114200-4,Betonproducten
44114210-7,Betonnen pijlers
44114220-0,Betonnen buizen en hulpstukken
44114250-9,Betonplaten
44115000-9,Hulpstukken voor bouwwerken
44115100-0,Buisleidingen
44115200-1,Loodgieters- en verwarmingsmateriaal
44115210-4,Loodgietersmateriaal
44115220-7,Materiaal voor verwarming
44115310-5,Rolluiken
44115400-3,Dakramen
44115500-4,Sprinklersystemen
44115600-5,Trapliften
44115700-6,Externe zonnewering
44115710-9,Luifels
44115800-7,Interne hulpstukken voor gebouwen
44115810-0,Gordijnroeden en gordijnen
44115811-7,Gordijnroeden
44115900-8,Zonweringselementen
44130000-0,Hoofdleidingen voor riolering
44131000-7,Rioolkolken
44132000-4,Duikerelementen
44133000-1,Dekplaatjes van gietijzer
44134000-8,Bochtstukken
44140000-3,Producten verband houdend met bouwmaterialen
44141000-0,Leidingbuizen
44141100-1,Elektriciteitsbuizen
44142000-7,Frames
44143000-4,Laadborden
44144000-1,Stijlen
44160000-9,"Pijpleidingen, pijpleidingstelsels, pijpen, mantelbuizen, binnenbuizen en aanverwante artikelen"
44161000-6,Pijpleidingen
44161100-7,Gaspijpleidingen
44161110-0,Gasdistributienetwerk
44161200-8,Hoofdwaterleiding
44161400-0,Onderwaterpijpleiding
44161410-3,Onderzeese pijpleiding
44161500-1,Hogedrukpijpleiding
44161600-2,Lagedrukpijpleiding
44161700-3,Pijpschrapers
44161710-6,Lanceerinstallaties voor pijpschrapers
44161720-9,Opvanginstallaties voor pijpschrapers
44161730-2,Bijleidingen voor pijpschraper
44162000-3,Pijpleidingstelsels
44162100-4,Benodigdheden voor pijpleidingstelsel
44162200-5,Distributiepijpleiding
44162300-6,Lozingsleidingstelsel
44162400-7,Mangaten van gres
44162500-8,Drinkwaterleidingen
44163000-0,Pijpen en fittings
44163100-1,Pijpen
44163110-4,Afwateringspijpen
44163111-1,Afvoerpijpen
44163112-8,Afwateringssysteem
44163120-7,Stadsverwarmingsbuizen
44163121-4,Verwarmingsbuizen
44163130-0,Rioolbuizen
44163140-3,Stoom- en waterbuizen
44163150-6,Lagedrukbuizen
44163160-9,Distributiebuizen en toebehoren
44163200-2,Pijpfittings
44163210-5,Pijpklemmen
44163230-1,Pijpkoppelstukken
44163240-4,Pijpverbindingen
44163241-1,Geïsoleerde verbindingsstukken
44164000-7,Mantelbuizen en binnenbuizen
44164100-8,Mantelbuizen
44164200-9,Schachtbekleding
44164300-0,Buisvormige goederen
44164310-3,Buizen en fittings
44165000-4,"Slangen, stijgleidingen en moffen"
44165100-5,Slangen
44165110-8,Boorslangen
44165200-6,Stijgleidingen
44165210-9,Flexibele stijgbuizen
44165300-7,Moffen
44166000-1,Buismateriaal voor de aardolie-industrie
44167000-8,Diverse pijpfittingen
44167100-9,Koppelstukken
44167110-2,Flenzen
44167111-9,Flensadapters
44167200-0,Reparatieklemmen en -ringen
44167300-1,"Bochtstukken, T-stukken en fittingen voor pijpen"
44167400-2,Kniestukken
44170000-2,"Platen, bladen, strips en folie verband houdend met bouwmaterialen"
44171000-9,Platen (bouwnijverheid)
44172000-6,Bladen (bouwnijverheid0
44173000-3,Strips
44174000-0,Folie
44175000-7,Panelen
44176000-4,Dunne folie
44190000-8,Diverse materialen voor de bouw
44191000-5,Diverse houten materialen voor de bouw
44191100-6,Multiplex
44191200-7,Houtlaminaat
44191300-8,Spaanplaat
44191400-9,Vezelplaat
44191500-0,Geperst hout
44191600-1,Panelen voor parketvloeren
44192000-2,Overige diverse materialen voor de bouw
44192100-3,Pvc-schuim
44192200-4,Nagels
44200000-2,Constructieproducten
44210000-5,Assemblagestructuren en delen daarvan
44211000-2,Prefabgebouwen
44211100-3,Modulaire verplaatsbare bouwelementen
44211110-6,Cabines
44211200-4,Hokjes
44211300-5,Veldhospitaal
44211400-6,Veldkeukens
44211500-7,Broeikassen
44212000-9,"Metaalbouwproducten en onderdelen, met uitzondering van prefabgebouwen"
44212100-0,Brug
44212110-3,Brugsecties
44212120-6,Metaalconstructies van bruggen
44212200-1,"Torens, vakwerkmasten, hefkranen en pylonen"
44212210-4,Hefkranen
44212211-1,Boortorens
44212212-8,Vaste boortorens
44212220-7,"Pylonen, palen en paaltjes"
44212221-4,Pylonen
44212222-1,Hoogspanningsmasten
44212223-8,Pyloonstutten
44212224-5,Palen voor bovengrondse leidingen
44212225-2,Palen
44212226-9,Elektriciteitspalen
44212227-6,Paaltjes
44212230-0,Torens
44212233-1,Watertorens
44212240-3,Steunbalken
44212250-6,Masten
44212260-9,Radio- of televisiemasten
44212261-6,Radiomasten
44212262-3,Televisiemasten
44212263-0,Vakwerkmasten
44212300-2,Assemblagestructuren en losse delen
44212310-5,Bouwsteigers
44212311-2,Boogschoren
44212312-9,Boogpijlers
44212313-6,Stutten
44212314-3,Draagconstructie voor pijpen
44212315-0,Steigeruitrusting
44212316-7,Boogklemmen
44212317-4,Steigerconstructies
44212318-1,Stutten voor pijpleidingen
44212320-8,Diverse structuren
44212321-5,Abri's
44212322-2,Telefooncellen
44212329-1,Veiligheidsschermen
44212380-6,Delen van assemblagestructuren
44212381-3,Bekleding
44212382-0,Vloeddeuren
44212383-7,Deuren voor schutsluis
44212390-9,Sluizen
44212391-6,Deuren voor in-/uitlaatsluis
44212400-3,Heiwerk
44212410-6,Damwandplanken
44212500-4,Hoekstaal en profielstaal
44212510-7,Hoekstaal
44212520-0,Profielstaal
44220000-8,Schrijnwerk voor de bouw
44221000-5,"Ramen, deuren en aanverwante artikelen"
44221100-6,Ramen
44221110-9,Raamkozijnen
44221111-6,Elementen met dubbele beglazing
44221120-2,Openslaande deuren
44221200-7,Deuren
44221210-0,Deurplaten
44221211-7,Deurkozijnen
44221212-4,Deurhorren
44221213-1,Deurdrempels
44221220-3,Branddeuren
44221230-6,Schuifdeuren
44221240-9,Garagedeuren
44221300-8,Toegangsdeuren
44221310-1,Toegangshekken
44221400-9,Luiken
44221500-0,Drempels
44230000-1,Timmerwerk voor de bouw
44231000-8,Kant-en-klare omheiningspanelen
44232000-5,Houten kapgebinten
44233000-2,Trappen
44300000-3,"Kabels, draad en aanverwante producten"
44310000-6,Draadproducten
44311000-3,Gevlochten draad
44312000-0,Omheiningsdraad
44312300-3,Prikkeldraad
44313000-7,Metaalgaas
44313100-8,Gaasafrastering
44313200-9,Metaalweefsel
44315000-1,Walsdraad
44315100-2,Lastoebehoren
44315200-3,Lasmateriaal
44315300-4,Materiaal voor solderen en hardsolderen
44315310-7,Soldeermateriaal
44315320-0,Materiaal voor hardsolderen
44316000-8,IJzerwaren
44316100-9,Aambeelden
44316200-0,Draagbare smidse
44316300-1,Roosters
44316400-2,Handgereedschappen
44316500-3,Smidswaren
44316510-6,Smeedwerk
44317000-5,Stroppen van ijzer of staal
44318000-2,Geleiders
44320000-9,Kabel en aanverwante producten
44321000-6,Kabel
44322000-3,Kabeltoebehoren
44322100-4,Kabeldoorvoerbuizen
44322200-5,Kabelaansluitingen
44322300-6,Kabelbuizen
44322400-7,Kabelklemmen
44330000-2,"Staven, stangen, draad en profielen voor gebruik in de bouw"
44331000-9,Staven
44332000-6,Stangen (bouwnijverheid)
44333000-3,Draad
44334000-0,Profielen
44400000-4,Diverse fabrikaten en aanverwante producten
44410000-7,Artikelen voor badkamer en keuken
44411000-4,Sanitair
44411100-5,Kranen
44411200-6,Badkuipen
44411300-7,Wastafels
44411400-8,Douchebakken
44411600-0,Bidets
44411700-1,"WC-brillen, deksels, toiletpotten en stortbakken"
44411710-4,WC-brillen
44411720-7,WC-deksels
44411740-3,Toiletpotten
44411750-6,Stortbakken
44411800-2,Urinoirs
44420000-0,Goederen voor gebruik in de bouw
44421000-7,"Gepantserde of gewapende kluizen, brandkasten en deuren"
44421300-0,Kluizen
44421500-2,Gepantserde of gewapende deuren
44421600-3,Bewaarkluizen
44421700-4,Kisten en afsluitbare kasten
44421710-7,Bagagekluizen
44421720-0,Opbergkasten
44421721-7,Safekastjes
44421722-4,Safekasten
44421780-8,Aktenkisten
44421790-1,Geldkisten
44422000-4,Brievenbussen
44423000-1,Diverse goederen
44423100-2,Klokken (bellen)
44423200-3,Ladders
44423220-9,Opvouwbare trappen
44423230-2,Keukentrapjes
44423300-4,Laad- en losuitrusting
44423330-3,Pallets voor goederenvervoer
44423340-6,Toebehoren van draadkabel voor laad- en losuitrusting
44423400-5,Signaleringsborden en aanverwante artikelen
44423450-0,Naambordjes
44423460-3,Adresplaatjes
44423700-8,Delen van mangaten
44423710-1,Straatpotten
44423720-4,Grenskasten
44423730-7,Frames voor mangaten
44423740-0,Mangatdeksels
44423750-3,Riooldeksels
44423760-6,Toegangsdeksels
44423790-5,Klimijzers voor mangaten
44423800-9,Metalen stempels
44423810-2,Rubberstempels
44423850-4,Gevormde artikelen
44423900-0,Opofferingsanodes
44424000-8,Meterkasten en band
44424100-9,Meterkasten
44424200-0,Plakband
44424300-1,Reflecterend band
44425000-5,"Ringen, zegels, band, stokken en voegspeciepakkers"
44425100-6,Elastische ringen
44425110-9,Zelfklevende versterkingsringen
44425200-7,Dichtingsmateriaal van rubber
44425300-8,Elastiekjes
44425400-9,Voegspeciepakkers
44425500-0,Stokken van plastic
44430000-3,Pantserplaatbekleding
44431000-0,Dekplaten
44440000-6,Lagers
44441000-3,Microparels
44442000-0,Rollagers
44450000-9,Zacht staal
44451000-6,Muntplaatjes
44452000-3,Muntbakken voor automaten
44460000-2,Schoren en stutten voor de mijnbouw
44461000-9,Schoren
44461100-0,Mijnschoren
44462000-6,Mijnstutten
44464000-0,Rupsbanden
44470000-5,Gietijzeren producten
44480000-8,Diverse brandbeveiligingsuitrusting
44481000-5,Hoogwerkers
44481100-6,Brandladders
44482000-2,Brandbeveiligingstoestellen
44482100-3,Brandslangen
44482200-4,Brandkranen
44500000-5,"Gereedschap, sloten, sleutels, scharnieren, sluitingen, ketting en veren"
44510000-8,Gereedschap
44511000-5,Handgereedschap
44511100-6,Spaden en schoppen
44511110-9,Spaden
44511120-2,Schoppen
44511200-7,Tuingaffels
44511300-8,"Houwelen, pikhouwelen, hakken, harken en strandharken"
44511310-1,Houwelen
44511320-4,Pikhouwelen
44511330-7,Schoffels
44511340-0,Harken
44511341-7,Strandharken
44511400-9,Bijlen
44511500-0,Handzagen
44511510-3,Bladen voor handzagen
44512000-2,Divers handgereedschap
44512100-3,Beitels
44512200-4,Buigtangen
44512210-7,Wurgtangen
44512300-5,Hamers
44512400-6,Draadklemmen
44512500-7,Moersleutels
44512600-8,Gereedschap voor wegenwerken
44512610-1,Pinnen voor het doorboren van toplagen van wegen
44512700-9,Vijlen of raspvijlen
44512800-0,Schroevendraaiers
44512900-1,"Boorijzers, schroevendraaierbladen en ander toebehoren"
44512910-4,Boorijzers
44512920-7,Schroevendraaierbladen
44512930-0,Draagbaar opbergsysteem voor gereedschap
44512940-3,Gereedschapskisten
44513000-9,Gereedschap met pedaalbediening
44514000-6,Handgrepen en delen van gereedschap
44514100-7,Handgrepen van gereedschap
44514200-8,Delen van gereedschap
44520000-1,"Sloten, sleutels en scharnieren"
44521000-8,Diverse hangsloten en sloten
44521100-9,Sloten
44521110-2,Deursloten
44521120-5,Elektronisch veiligheidsslot
44521130-8,Verhoogde-veiligheidsslot
44521140-1,Sloten voor meubelen
44521200-0,Hangsloten en kettingen
44521210-3,Hangsloten
44522000-5,"Sluitingen, delen van sloten en sleutels"
44522100-6,Sluithaken
44522200-7,Sleutels
44522300-8,Delen van hangsloten
44522400-9,Delen van sloten
44523000-2,"Scharnieren, bevestigingsmateriaal en beslag"
44523100-3,Scharnieren
44523200-4,Bevestigingsmateriaal
44523300-5,Beslag
44530000-4,Bevestigingsmiddelen
44531000-1,Bevestigingsmiddelen met schroefdraad
44531100-2,Houtschroeven
44531200-3,Schroefhaken of schroefringen
44531300-4,Zelftappende schroeven
44531400-5,Bouten
44531500-6,Flensverbindingsstukken
44531510-9,Bouten en schroeven
44531520-2,Slotbouten en kraagschroeven
44531600-7,Moeren
44531700-8,IJzeren of stalen bevestigingsmiddelen met schroefdraad
44532000-8,Sluitartikelen zonder schroefdraad
44532100-9,Klinknagels
44532200-0,Sluitringen
44532300-1,Splitpennen
44532400-2,Stalen lasplaten
44533000-5,Bevestigingsmiddelen van koper
44540000-7,Ketting
44541000-4,Gelede ketting
44542000-1,Kettingdelen
44550000-0,Veren
44600000-6,"Tanks, reservoirs en containers; radiatoren en ketels voor centrale verwarming"
44610000-9,"Tanks, reservoirs, containers en drukvaten"
44611000-6,Tanks
44611100-7,Luchtflessen
44611110-0,Persluchtflessen
44611200-8,Ademhalingsapparatuur
44611400-0,Opslagtanks
44611410-3,Olietanks
44611420-6,Slibopslagtanks
44611500-1,Watertanks
44611600-2,Reservoirs
44612000-3,Flessen voor lpg
44612100-4,Gasflessen
44612200-5,Gastanks
44613000-0,Grote containers
44613110-4,Silo's
44613200-2,Koelcontainers
44613210-5,Waterreservoirs
44613300-3,Standaard vrachtcontainers
44613400-4,Opslagcontainers
44613500-5,Watercontainers
44613600-6,Verrijdbare containers
44613700-7,Vuilnisbakken
44613800-8,Containers voor afvalmateriaal
44614000-7,Fusten
44614100-8,Opslagbakken
44614300-0,Containeropslagsysteem
44614310-3,Stapelmachines
44615000-4,Drukvaten
44615100-5,Stalen drukvaten
44616000-1,Trommels
44616200-3,Afvalvaten
44617000-8,Dozen
44617100-9,Kartons
44617200-0,Meterbehuizingen
44617300-1,Prefabkasten
44618000-5,"Lichte containers, kurken, doppen voor grote flacons, tonnen en deksels"
44618100-6,Lichte containers
44618300-8,"Kurken, stoppen, doppen voor grote flacons, en deksels"
44618310-1,Kurken
44618320-4,Stoppen
44618330-7,Doppen voor houders
44618340-0,Deksels
44618350-3,Plastic doppen
44618400-9,Blikjes
44618420-5,Voedselblikken
44618500-0,Vaten
44619000-2,Overige opbergmiddelen
44619100-3,Kisten
44619200-4,Kabeltrommels
44619300-5,Kratten
44619400-6,Tonnen
44619500-7,Palletkisten
44620000-2,Radiatoren en ketels en onderdelen voor centrale verwarming
44621000-9,Radiatoren en ketels
44621100-0,Radiatoren
44621110-3,Radiatoren voor centrale verwarming
44621111-0,Niet-elektrisch verwarmde radiatoren
44621112-7,Delen van radiatoren voor centrale verwarming
44621200-1,Verwarmingsketels
44621210-4,Waterkokers
44621220-7,Ketels voor centrale verwarming
44621221-4,Delen van ketels voor centrale verwarming
44622000-6,Warmteterugwinningssystemen
44622100-7,Warmteterugwinningsuitrusting
44800000-8,"Verf, vernis en mastiek"
44810000-1,Verf
44811000-8,Wegenverf
44812000-5,Verf voor kunstschilders
44812100-6,Email en glazuur
44812200-7,Olie- en waterverf
44812210-0,Olieverf
44812220-3,Waterverf
44812300-8,Verf voor onderwijsdoeleinden
44812310-1,Verfdozen
44812320-4,Verf voor het schilderen van uithangborden
44812400-9,Decoratieartikelen
44820000-4,Vernis
44830000-7,"Mastiek, vulstoffen, stopverf en oplosmiddelen"
44831000-4,"Mastiek, vulstoffen, stopverf"
44831100-5,Mastiek
44831200-6,Vulmiddelen
44831300-7,Stopverf
44831400-8,Vulspecie
44832000-1,Oplosmiddelen
44832100-2,Verfafbijtmiddel
44832200-3,Verdunningsmiddelen
44900000-9,"Steen voor de bouw, kalksteen, gips en lei"
44910000-2,Steen voor de bouw
44911000-9,Marmer en kalksteenachtige steen voor de bouw
44911100-0,Marmer
44911200-1,Travertijn
44912000-6,Diverse bouwstenen
44912100-7,Graniet
44912200-8,Zandsteen
44912300-9,Basalt
44912400-0,Trottoirbanden
44920000-5,"Kalksteen, gips en krijt"
44921000-2,Kalksteen en gips
44921100-3,Gips
44921200-4,Kalk
44921210-7,Poederkalk
44921300-5,Kalksteen
44922000-9,Krijt en dolomiet
44922100-0,Krijt (gesteente)
44922200-1,Dolomiet
44930000-8,Leisteen
45000000-7,Bouwwerkzaamheden
45100000-8,Bouwrijp maken van terreinen
45110000-1,"Slopen en ontmantelen van gebouwen, en grondverzet"
45111000-8,"Sloopwerkzaamheden, bouwrijp maken en ruimen van bouwterreinen"
45111100-9,Sloopwerkzaamheden
45111200-0,Bouwrijp maken en ruimen van bouwterreinen
45111210-3,Steenvrij maken door middel van explosieven en dergelijke
45111211-0,Explosiewerkzaamheden
45111212-7,Steenvrij maken
45111213-4,Ruimen van bouwterreinen
45111214-1,Ruimen door explosie
45111220-6,Verwijderen van begroeiing op bouwterreinen
45111230-9,Grondstabilisatie
45111240-2,Gronddrainage
45111250-5,Uitvoering van bodemonderzoek
45111260-8,Terreinvoorbereiding voor mijnbouw
45111290-7,Voorbereidende werkzaamheden voor leidingen
45111291-4,Inrichten van de bouwplaats
45111300-1,Demontagewerkzaamheden
45111310-4,Demontagewerkzaamheden voor militaire installaties
45111320-7,Demontagewerkzaamheden voor veiligheidsinstallaties
45112000-5,Graafwerkzaamheden en grondverzet
45112100-6,Graven van geulen
45112200-7,Afgraven van grond
45112210-0,Afgraven van teelaarde
45112300-8,Landophoging en -winning
45112310-1,Landophoging
45112320-4,Landwinning
45112330-7,Ruimen van bouwterrein
45112340-0,Bodemsanering
45112350-3,Ontginnen van braakliggende grond
45112360-6,Bodemherstel
45112400-9,Graafwerkzaamheden
45112410-2,Graven van grafkuilen
45112420-5,Uitgraven van kelders
45112440-1,Aanleggen van terrassen op berghellingen
45112441-8,Aanleggen van terrassen
45112450-4,Archeologisch opgravingswerk
45112500-0,Grondverzet
45112600-1,Uitgraven en opvullen
45112700-2,Werkzaamheden voor landschapsarchitectuur
45112710-5,Landschappelijk ontwerp voor groenzones
45112711-2,Landschappelijk ontwerp voor parken
45112712-9,Landschappelijk ontwerp voor tuinen
45112713-6,Landschappelijke vormgeving van daktuinen
45112714-3,Landschappelijk ontwerp voor begraafplaatsen
45112720-8,Landschappelijk ontwerp voor sport- en recreatieterreinen
45112721-5,Landschappelijk ontwerp voor golfbanen
45112722-2,Landschappelijk ontwerp voor paardrijterreinen
45112723-9,Landschappelijk ontwerp voor speelterreinen
45112730-1,Landschappelijke vormgeving van wegen en snelwegen
45112740-4,Landschappelijke vormgeving op luchthavens
45113000-2,Werken op bouwterrein
45120000-4,Uitvoeren van proefboringen
45121000-1,Proefboren
45122000-8,Maken van proefboorgaten
45200000-9,Volledige of gedeeltelijke bouw- en civieltechnische werkzaamheden
45210000-2,Bouwen van gebouwen
45211000-9,Bouwwerkzaamheden voor meergezins- en eengezinswoningen
45211100-0,Werkzaamheden voor huizenbouw
45211200-1,Bouwwerkzaamheden voor aangepaste woningen
45211300-2,Bouwen van woningen
45211310-5,Bouwen van badkamers
45211320-8,Bouwen van veranda's
45211340-4,Bouwen van meergezinswoningen
45211341-1,Bouwen van flatgebouwen
45211350-7,Bouwen van multifunctionele gebouwen
45211360-0,Bouwwerkzaamheden voor stadsontwikkeling
45211370-3,Bouwen van sauna's
45212000-6,"Gebouwen voor vrijetijdsbesteding, sport, cultuur, logies en restaurant"
45212100-7,Bouwen van vrijetijdsvoorzieningen
45212110-0,Bouwen van vrijetijdscentrum
45212120-3,Bouwen van themapark
45212130-6,Bouwen van pretpark
45212140-9,Recreatiefaciliteiten
45212150-2,Bouwen van bioscoop
45212160-5,Bouwen van casino
45212170-8,Bouwen van gebouw voor ontspanningsdoeleinden
45212171-5,Bouwen van vermaakcentrum
45212172-2,Bouwen van recreatiecentrum
45212180-1,Bouwen van kaartverkooppunten
45212190-4,Aanbrengen van zonwering
45212200-8,Bouwen van sportfaciliteiten
45212210-1,Bouwen van specifieke sportvoorzieningen
45212211-8,Bouwen van ijsbaan
45212212-5,Bouwwerkzaamheden voor zwembad
45212213-2,Aanbrengen van sportmarkeringen
45212220-4,Bouwen van multisportvoorzieningen
45212221-1,Bouwwerkzaamheden voor installaties voor sportterrein
45212222-8,Bouwen van gymnastiekzaal
45212223-5,Bouwen van wintersportvoorzieningen
45212224-2,Bouwen van stadion
45212225-9,Bouwen van sporthal
45212230-7,Installeren van kleedkamers
45212290-5,Reparatie en onderhoud van sportfaciliteiten
45212300-9,Bouwen van gebouwen voor kunst en cultuur
45212310-2,Gebouwen voor tentoonstellingen
45212311-9,Bouwen van kunstgalerij
45212312-6,Bouwen van tentoonstellingscentrum
45212313-3,Bouwen van museum
45212314-0,Bouwwerkzaamheden aan historisch monument of gedenkteken
45212320-5,Gebouwen voor beeldende en uitvoerende kunst
45212321-2,Bouwen van concertzaal
45212322-9,Bouwen van theater
45212330-8,Bouwen van bibliotheek
45212331-5,Bouwen van mediatheek
45212340-1,Bouwen van hoorzaal
45212350-4,Gebouwen met bijzondere historische of architectonische waarde
45212351-1,Bouwwerkzaamheden aan prehistorisch monument
45212352-8,Bouwwerkzaamheden aan industrieel monument
45212353-5,Bouwwerkzaamheden aan paleis
45212354-2,Bouwwerkzaamheden aan kasteel
45212360-7,Bouwen van religieus gebouw
45212361-4,Bouwen van kerk
45212400-0,Accommodatie- en restaurantgebouwen
45212410-3,Bouwen van gebouwen met logiesaccommodatie
45212411-0,Bouwen van hotel
45212412-7,Bouwen van jeugdherberg
45212413-4,Bouwen van accommodatie voor kort verblijf
45212420-6,Bouwen van restaurants en dergelijke
45212421-3,Bouwen van restaurant
45212422-0,Bouwen van kantine
45212423-7,Bouwen van cafeteria
45212500-1,Verbouwing van keuken of restaurant
45212600-2,Bouwen van paviljoen
45213000-3,"Gebouwen met een commerciële functie, pakhuizen en industriële gebouwen, en gebouwen in verband met transport"
45213100-4,Bouwen van gebouwen voor commerciële doeleinden
45213110-7,Bouwen van winkels
45213111-4,Bouwen van winkelcentrum
45213112-1,Bouwen van winkeleenheden
45213120-0,Bouwen van postkantoor
45213130-3,Bouwen van bank
45213140-6,Bouwen van markt
45213141-3,Bouwen van overdekte markt
45213142-0,Bouwen van openluchtmarkt
